"sample_id","qtl2_pct_diff","haploqa_pct_diff","haploqa_qtl2_pct_diff"
"6UY",0.00638933411044733,0.134365437855165,0.131494973043858
"6UZ",0.00517266501529943,0.123357132449366,0.123022002039924
"6V2",0.00553693719947545,0.118082471222497,0.115073582981204
"6V3",0.00646218854728253,0.118927582689786,0.115241148185925
"6V4",0.00387585603963281,0.105828354946816,0.105915780271019
"6V5",0.00563893341104473,0.12274515517995,0.120909223371703
"6V6",0.00549322453737433,0.128777502549905,0.127262130263733
"6V7",0.00456068774588372,0.128886784205158,0.12806352906892
"6V8",0.00327116421390063,0.10351886929914,0.102003497012968
"6V9",0.00586478216523386,0.108203409587644,0.108538539997086
"6VA",0.0101996211569285,0.11519015008014,0.107547719656127
"6VB",0.00952207489436107,0.122541162756812,0.121258924668512
"6VC",0.00826169313711205,0.114126475302346,0.112953518869299
"6VD",0.00418913011802419,0.125360629462334,0.12388168439458
"6VE",0.00972606731749964,0.141468745446598,0.136806061489145
"6VF",0.00434940987906163,0.117878478799359,0.116734664141046
"6VG",0.0061999125746758,0.103977852251202,0.103351304094419
"6VH",0.00387585603963281,0.110920880081597,0.111583855456797
"6VJ",0.00325659332653359,0.118206323765117,0.118148040215649
"6VK",0.00488124726795862,0.113915197435524,0.111088445286318
"6VM",0.00228762931662538,0.131174413521783,0.131458545825441
"6VN",0.00190878624508233,0.12648987323328,0.125761328864928
"6VQ",0.0128660935450969,0.134110447326242,0.128872213317791
"6VR",0.00394871047646802,0.112050123852543,0.111933556753606
"6VS",0.00434212443537811,0.115867696342707,0.115568993151683
"6VT",0.00700859682354655,0.134962844237214,0.13466414104619
"6VU",0.00730730001457089,0.117171790762057,0.118250036427218
"6VV",0.00785370829083491,0.129404050706688,0.125360629462334
"6VW",0.00468454028850357,0.120945650590121,0.12168876584584
"6VX",0.00355529651755792,0.125018213609209,0.122774296954685
"6VY",0.006272767011511,0.119437563747632,0.116333964738453
"6VZ",0.00419641556170771,0.10585749672155,0.103919568701734
"6W2",0.00550050998105785,0.115663703919569,0.113259507504007
"6W3",0.0080285589392394,0.115984263441644,0.111853416873088
"6W4",0.00698674049249599,0.126293166253825,0.126460731458546
"6W5",0.00700131137986303,0.114388751274953,0.114046335421827
"6W6",0.0079921317208218,0.138918840157366,0.140681917528778
"6W7",0.00241876730292875,0.120428384088591,0.121324493661664
"6W9",0.00596677837680315,0.134088590995192,0.131079702753898
"6WA",0.00502695614162903,0.137228617222789,0.136164942444995
"6WB",0.00624362523677692,0.118454028850357,0.116297537520035
"6WC",0.00356986740492496,0.127619117004226,0.125958035844383
"6WD",0.00525280489581816,0.109500218563311,0.106702608188839
"6WE",0.00839283112341542,0.135283403759289,0.133534897275244
"6WF",0.00493953081742678,0.11701151100102,0.118628879498761
"6WH",0.010920880081597,0.112013696634125,0.109711496430133
"6WJ",0.0104181844674341,0.132922920005828,0.129957744426636
