"sample_id","qtl2_pct_diff","haploqa_pct_diff","haploqa_qtl2_pct_diff"
"35V",0.0506411190441498,0.0370756229054349,0.0141483316333965
"35W",0.069000437126621,0.0370756229054349,0.0325076497158677
"35X",0.0645271747049395,0.0370756229054349,0.0294914760308903
"364",0.0483389188401574,0.0370756229054349,0.0112924377094565
"365",0.0653431443974938,0.0370756229054349,0.0288503569867405
"366",0.0646583126912429,0.0370756229054349,0.0295643304677255
"36C",0.0504006994025936,0.0370756229054349,0.0133542182718928
"36K",0.0521492058866385,0.0370756229054349,0.0156564184758852
"36M",0.0632085093982224,0.0370756229054349,0.0269197144106076
"36T",0.0502112778668221,0.0370756229054349,0.0137184904560688
"36U",0.0631502258487542,0.0370756229054349,0.0268614308611394
"372",0.0498980037884307,0.0370756229054349,0.0128369517703628
"373",0.0633177910534752,0.0370756229054349,0.027946961969984
"379",0.0570668803730147,0.0370756229054349,0.0202243916654524
"37A",0.0651901500801399,0.0370756229054349,0.0289013550925251
"37G",0.0562800524551945,0.0370756229054349,0.0194375637476322
"37H",0.0622031181698965,0.0370756229054349,0.0268322890864054
"37Q",0.0572198746903686,0.0370756229054349,0.0203773859828064
"37R",0.0651245810869882,0.0370756229054349,0.0296371849045607
"37X",0.0578537082908349,0.0370756229054349,0.0210112195832726
"37Y",0.0642357569575987,0.0370756229054349,0.0292583418330176
"386",0.0570523094856477,0.0370756229054349,0.0202098207780854
"387",0.0605493224537374,0.0370756229054349,0.02545534023022
"38D",0.0573874398950896,0.0370756229054349,0.0205449511875273
"38E",0.0633396473845257,0.0370756229054349,0.0282893778231094
"6M4",0.0285297974646656,0,0.0285297974646656
"6M5",0.0598134926417019,0.0370756229054349,0.024180387585604
"6M6",0.0193209966486959,0,0.0193209966486959
"6M7",0.058793530526009,0.0370756229054349,0.0230802855893924
"6M8",0.00679731895672446,0,0.00679731895672446
"6M9",0.0552455194521346,0.0370756229054349,0.0182791782019525
"6MA",0.0601121958327262,0.0370756229054349,0.0233862742241002
"6MB",0.0515517995045898,0.0370756229054349,0.0147748797901792
"6MC",0.0634926417018796,0.0370756229054349,0.0271601340521638
"6MD",0.0218199038321434,0,0.0218199038321434
"6ME",0.0548666763805916,0.0370756229054349,0.0178857642430424
"6MF",0.0563456214483462,0.0370756229054349,0.0206323765117296
"6MG",0.0434576715721987,0.0370756229054349,0.00663703919568702
"6MH",0.0535917237359755,0.0370756229054349,0.0165670989363252
"6MJ",0.0216159114090048,0,0.0216159114090048
"6MK",0.0486959055806499,0.0370756229054349,0.0119189858662393
"6MM",0.0271382777211132,0,0.0271382777211132
"6MN",0.0563601923357132,0.0370756229054349,0.0219291854873962
"6MP",0.0180606148914469,0,0.0180606148914469
"6MQ",0.0250327844965758,0,0.0250327844965758
"6MR",0.04389479819321,0.0370756229054349,0.0070595949293312
"6MS",0.0537592889406965,0.0370756229054349,0.0173320705230949
"6MT",0.0580941279323911,0.0370756229054349,0.0213682063237651
"6MU",0.0487979017922191,0.0370756229054349,0.0120209820778085
"6MV",0.0624143960367186,0.0370756229054349,0.0268322890864054
"6MW",0.0201442517849337,0,0.0201442517849337
"6MX",0.0580139880518724,0.0370756229054349,0.0210549322453737
"6MY",0.0543858370974792,0.0370756229054349,0.0188765845840012
"6MZ",0.0438875127495264,0.0370756229054349,0.00710330759143232
"6N2",0.0551070960221478,0.0370756229054349,0.0184321725193064
"6N3",0.0233789887804167,0,0.0233789887804167
"6N4",0.0472825295060469,0.0370756229054349,0.0103890426927
"6N5",0.0261401719364709,0,0.0261401719364709
"6N6",0.0548739618242751,0.0370756229054349,0.020442954975958
"6N7",0.020078682791782,0,0.020078682791782
"6N8",0.0599737724027393,0.0370756229054349,0.0244645198892613
"6N9",0.0457598717761912,0.0370756229054349,0.00893923939967944
"6NA",0.053934139589101,0.0370756229054349,0.0169095147894507
"6NB",0.0600976249453592,0.0370756229054349,0.0233717033367332
"6NC",0.0490091796590412,0.0370756229054349,0.0122322599446306
"6ND",0.026169313711205,0,0.026169313711205
"6NE",0.0217761911700423,0,0.0217761911700423
"6NF",0.0189057263587352,0,0.0189057263587352
"6NG",0.0574384380008743,0.0370756229054349,0.0219364709310797
"6NH",0.0462917091650882,0.0370756229054349,0.00947836223225994
"6NJ",0.0546116858516684,0.0370756229054349,0.0176380591578027
"6NK",0.0233207052309486,0,0.0233207052309486
"6NM",0.0474500947107679,0.0370756229054349,0.0106731749963573
"6NN",0.0321652338627422,0,0.0321652338627422
"6NP",0.0422701442517849,0,0.0422701442517849
"6NQ",0.0188401573655836,0,0.0188401573655836
"6NR",0.0528631793676235,0.0370756229054349,0.0171062217689057
"6NS",0.06935013842343,0.0370756229054349,0.0340594492204575
"6NT",0.0680169022293458,0.0370756229054349,0.0318009616785662
"6NU",0.0541745592306572,0.0370756229054349,0.0174632085093982
"6NV",0.0617878478799359,0.0370756229054349,0.0253460585749672
"6NW",0.0615692845694303,0.0370756229054349,0.0256957598717762
"6NX",0.0753314876876002,0.0370756229054349,0.0387949876147457
"6NY",0.0544878333090485,0.0370756229054349,0.0177473408130555
"6NZ",0.0517339355966778,0.0370756229054349,0.0159769779979601
"6P2",0.0701151100101996,0.0370756229054349,0.0348244208072272
"6P3",0.0753970566807519,0.0370756229054349,0.0393413958910098
"6P4",0.0572854436835203,0.0370756229054349,0.0205449511875273
"6P5",0.059842634416436,0.0370756229054349,0.0234518432172519
"6P6",0.0246830831997669,0,0.0246830831997669
"6P7",0.0352615474282384,0,0.0352615474282384
"6P8",0.0210185050269561,0,0.0210185050269561
"6P9",0.0520180679003351,0.0370756229054349,0.0162173976395162
"6PA",0.071309922774297,0.0370756229054349,0.0350356986740493
"6PB",0.0713754917674486,0.0370756229054349,0.0353635436398077
"6PC",0.0556097916363106,0.0370756229054349,0.0188692991403176
"6PD",0.05896109573073,0.0370756229054349,0.0227160134052164
"6PE",0.027050852396911,0,0.027050852396911
"6PF",0.0768905726358735,0.0370756229054349,0.0403904997814367
"6PG",0.055573364417893,0.0370756229054349,0.0188328719219
"6PH",0.0564039049978144,0.0370756229054349,0.020610520180679
"6PJ",0.0714264898732333,0.0370756229054349,0.0361358006702608
"6PK",0.0721404633542183,0.0370756229054349,0.036725921608626
"6PM",0.055026956141629,0.0370756229054349,0.018286463645636
"6PN",0.0597697799796008,0.0370756229054349,0.0232405653504298
"6PP",0.0234518432172519,0,0.0234518432172519
"6PQ",0.0377458837243188,0,0.0377458837243188
"6PR",0.0189785807955705,0,0.0189785807955705
"6PS",0.0512749526446161,0.0370756229054349,0.0154742823837972
"6PT",0.0700932536791491,0.0370756229054349,0.0338190295789014
"6PU",0.0660644033221623,0.0370756229054349,0.0300597406382049
"6PV",0.055391228325805,0.0370756229054349,0.018650735829812
"6PW",0.0562071980183593,0.0370756229054349,0.0199912574675798
"6PX",0.0654524260527466,0.0370756229054349,0.0298266064403322
"6PY",0.0709529360338045,0.0370756229054349,0.03441643596095
"6PZ",0.0188328719219,0,0.0188328719219
"6Q2",0.0511219583272621,0.0370756229054349,0.0153285735101268
"6Q3",0.0700058283549468,0.0370756229054349,0.0337534605857497
"6Q4",0.065401427946962,0.0370756229054349,0.0288503569867405
"6Q5",0.0560687745883724,0.0370756229054349,0.0193282820923794
"6TY",0.0293821943756375,0,0.0293821943756375
"6U9",0.0650954393122541,0.0370756229054349,0.0290689202972461
"6UA",0.0294987614745738,0,0.0294987614745738
"6UB",0.0640099082034096,0.0370756229054349,0.0288066443246394
"6UC",0.0656637039195687,0.0370756229054349,0.0304604400407985
"ADG",0.0713317791053475,0.0370756229054349,0.0347952790324931
"ADH",0.0717980475010928,0.0370756229054349,0.0352615474282384
"ADJ",0.0766428675506338,0.0370756229054349,0.0401063674777794
"ADK",0.0730584292583418,0.0370756229054349,0.0365219291854874
"ADM",0.0704793821943756,0.0370756229054349,0.0341468745446598
"ADN",0.0789596386419933,0.0370756229054349,0.0424959930059741
"ADP",0.0519524989071834,0.0370756229054349,0.0168876584584001
"ADQ",0.0521054932245374,0.0370756229054349,0.017040652775754
"ADR",0.0529141774734081,0.0370756229054349,0.0178493370246248
"ADS",0.0516610811598426,0.0370756229054349,0.0165962407110593
"ADT",0.0516537957161591,0.0370756229054349,0.0165889552673758
"ADU",0.0527247559376366,0.0370756229054349,0.0176599154888533
"ADW",0.054465976977998,0.0370756229054349,0.0178420515809413
"ADX",0.0554057992131721,0.0370756229054349,0.0187818738161154
"ADY",0.0175943464957016,0,0.0175943464957016
"ADZ",0.0561561999125747,0.0370756229054349,0.019532274515518
"AE2",0.0552236631210841,0.0370756229054349,0.0185997377240274
"AE3",0.0249016465102725,0,0.0249016465102725
"AE5",0.0224537374326096,0,0.0224537374326096
"AE6",0.0643013259507504,0.0370756229054349,0.0279396765263005
"AE7",0.0636747777939677,0.0370756229054349,0.0273131283695177
"AE8",0.066129972315314,0.0370756229054349,0.0297683228908641
"AE9",0.0575914323182282,0.0370756229054349,0.020625091068046
"AEA",0.0634926417018796,0.0370756229054349,0.0265263004516975
"AEB",0.0577954247413668,0.0370756229054349,0.0208290834911846
"AEC",0.0217033367332071,0,0.0217033367332071
"AED",0.0586696779833892,0.0370756229054349,0.0217033367332071
"AEE",0.0585021127786682,0.0370756229054349,0.0215357715284861
"AEF",0.0741731021419204,0.0370756229054349,0.0418985866239254
"AEG",0.0699621156928457,0.0370756229054349,0.0376876001748506
"AEH",0.0704356695322745,0.0370756229054349,0.0381611540142795
"AEJ",0.070442954975958,0.0370756229054349,0.038168439457963
"AEK",0.0704356695322745,0.0370756229054349,0.0381611540142795
"AEM",0.0702826752149206,0.0370756229054349,0.0380081596969255
"AEN",0.0700495410170479,0.0370756229054349,0.0362232259944631
"AEP",0.0727742969546845,0.0370756229054349,0.0389479819320997
"AEQ",0.0744572344455777,0.0370756229054349,0.0405362086551071
"AER",0.0717397639516247,0.0370756229054349,0.0379134489290398
"AES",0.0404852105493225,0,0.0404852105493225
"AET",0.0730292874836077,0.0370756229054349,0.0392029724610229
"AEV",0.0233207052309486,0,0.0233207052309486
"AEW",0.0566807518577881,0.0370756229054349,0.0219364709310797
"AEX",0.0242459565787556,0,0.0242459565787556
"AEY",0.0279396765263005,0,0.0279396765263005
"AEZ",0.0232769925688474,0,0.0232769925688474
"AF2",0.0665962407110593,0.0370756229054349,0.0315022584875419
"AF3",0.0632085093982224,0.0370756229054349,0.0280635290689203
"AF4",0.0297828937782311,0,0.0297828937782311
"AF5",0.0633979309339939,0.0370756229054349,0.0283039487104765
"AF6",0.0645490310359901,0.0370756229054349,0.0294550488124727
"AF7",0.0651391519743552,0.0370756229054349,0.0300451697508378
"AFE",0.0233352761183156,0,0.0233352761183156
