founder_strain,letter,color,type,url
A/J,A,Yellow,Inbred,https://www.jax.org/strain/000646
C57BL/6J,B,Gray,Inbred,https://www.jax.org/strain/000664
129S1/SvImJ,C,Pink,Inbred,https://www.jax.org/strain/002448
NOD/ShiLtJ,D,Blue,Inbred,https://www.jax.org/strain/001976
NZO/HlLtJ,E,Light Blue,Inbred,https://www.jax.org/strain/002105
CAST/EiJ,F,Green,Wild-derived inbred,https://www.jax.org/strain/000928
PWK/PhJ,G,Red,Wild-derived inbred,https://www.jax.org/strain/003715
WSB/EiJ,H,Purple,Wild-derived inbred,https://www.jax.org/strain/001145
